Iter,Makespan
10,"[208. 204. 238. 209. 245. 205. 232. 224. 210. 206. 211. 256. 211. 220.
 233. 181. 200. 191. 182. 186. 250. 176. 254. 209. 198. 228. 174. 197.
 187. 162. 190. 242. 227. 218. 230. 265. 201. 216. 258. 214. 178. 187.
 222. 245. 180. 226. 180. 223. 207. 206. 173. 208. 249. 183. 231. 196.
 178. 239. 194. 192. 182. 203. 201. 203. 191. 196. 183. 205. 279. 232.
 175. 232. 181. 204. 236. 192. 219. 197. 191. 220. 225. 160. 216. 171.
 200. 219. 220. 213. 199. 187. 251. 212. 194. 187. 197. 200. 253. 189.
 220. 189.]"
20,"[202. 177. 244. 207. 241. 228. 240. 221. 259. 182. 189. 199. 213. 194.
 221. 189. 181. 185. 199. 182. 256. 189. 192. 208. 204. 222. 211. 205.
 199. 173. 203. 198. 235. 199. 213. 228. 205. 218. 252. 224. 197. 208.
 201. 229. 201. 215. 211. 200. 184. 211. 221. 196. 232. 194. 209. 195.
 191. 234. 187. 234. 171. 212. 216. 197. 201. 228. 214. 213. 238. 227.
 200. 247. 194. 229. 239. 181. 206. 213. 206. 205. 228. 183. 185. 207.
 208. 221. 205. 212. 203. 236. 261. 192. 196. 250. 219. 200. 245. 191.
 240. 197.]"
30,"[214. 169. 239. 210. 207. 241. 265. 258. 224. 185. 199. 243. 192. 226.
 242. 207. 214. 260. 218. 198. 184. 199. 200. 200. 185. 181. 219. 185.
 186. 204. 192. 225. 218. 198. 233. 226. 214. 177. 229. 226. 220. 220.
 245. 231. 172. 218. 261. 195. 185. 226. 196. 225. 258. 179. 256. 208.
 240. 297. 215. 256. 186. 192. 175. 233. 227. 173. 245. 221. 207. 200.
 221. 205. 202. 281. 307. 181. 221. 262. 222. 203. 199. 197. 219. 190.
 224. 207. 212. 212. 237. 233. 228. 260. 211. 199. 181. 186. 255. 210.
 227. 198.]"
40,"[220. 195. 237. 177. 195. 214. 197. 248. 212. 178. 173. 206. 194. 208.
 246. 186. 205. 195. 222. 197. 207. 186. 211. 205. 179. 178. 199. 188.
 192. 175. 189. 214. 197. 197. 181. 204. 206. 187. 264. 180. 204. 224.
 194. 241. 172. 182. 205. 217. 186. 198. 192. 194. 217. 175. 181. 207.
 205. 217. 225. 192. 168. 200. 183. 181. 204. 176. 194. 189. 250. 205.
 201. 188. 187. 218. 208. 181. 245. 190. 188. 220. 189. 213. 196. 194.
 186. 191. 200. 174. 194. 205. 198. 216. 212. 215. 224. 197. 201. 190.
 202. 198.]"
50,"[199. 199. 215. 212. 194. 204. 202. 237. 184. 185. 165. 193. 210. 250.
 192. 199. 186. 224. 205. 220. 197. 202. 188. 212. 187. 184. 182. 170.
 174. 177. 206. 209. 202. 193. 174. 209. 192. 183. 219. 217. 180. 186.
 198. 261. 178. 196. 213. 185. 184. 214. 183. 192. 217. 175. 225. 199.
 198. 204. 205. 206. 190. 176. 173. 194. 205. 174. 192. 244. 205. 184.
 204. 220. 176. 209. 264. 165. 212. 192. 186. 197. 199. 169. 200. 210.
 196. 227. 187. 179. 200. 211. 195. 186. 200. 237. 243. 191. 207. 187.
 193. 215.]"
60,"[178. 175. 219. 162. 190. 193. 183. 194. 178. 162. 173. 186. 178. 185.
 200. 195. 188. 209. 207. 169. 170. 209. 185. 177. 180. 173. 157. 186.
 191. 187. 172. 210. 193. 201. 232. 204. 210. 156. 193. 169. 169. 231.
 165. 236. 172. 181. 220. 186. 182. 178. 181. 170. 207. 178. 212. 188.
 190. 198. 185. 192. 166. 172. 168. 174. 203. 232. 191. 183. 199. 199.
 188. 177. 170. 177. 195. 175. 215. 171. 178. 179. 180. 170. 183. 183.
 165. 175. 175. 177. 184. 203. 188. 253. 231. 201. 185. 181. 252. 188.
 166. 198.]"
70,"[176. 170. 221. 157. 181. 182. 201. 201. 170. 179. 181. 170. 170. 212.
 197. 145. 192. 205. 194. 163. 184. 173. 180. 174. 183. 162. 163. 177.
 184. 174. 168. 204. 183. 175. 166. 195. 179. 154. 188. 165. 160. 194.
 177. 179. 187. 183. 229. 167. 172. 175. 193. 175. 200. 177. 179. 178.
 178. 204. 172. 182. 172. 191. 199. 169. 213. 158. 181. 189. 183. 180.
 171. 183. 165. 196. 175. 163. 164. 174. 164. 166. 186. 154. 169. 197.
 184. 174. 169. 159. 211. 192. 183. 170. 180. 180. 176. 166. 182. 170.
 181. 174.]"
80,"[198. 153. 229. 172. 177. 189. 182. 227. 187. 158. 178. 175. 171. 175.
 179. 155. 168. 170. 171. 173. 183. 163. 180. 173. 192. 149. 154. 178.
 168. 201. 158. 201. 188. 198. 160. 181. 174. 153. 179. 161. 163. 176.
 156. 180. 170. 195. 211. 162. 174. 170. 175. 180. 205. 167. 163. 162.
 179. 192. 173. 171. 175. 179. 164. 157. 181. 156. 165. 188. 182. 181.
 184. 171. 169. 219. 169. 161. 165. 190. 175. 164. 179. 153. 177. 173.
 174. 173. 169. 180. 172. 213. 187. 163. 169. 191. 173. 152. 187. 167.
 191. 180.]"
90,"[179. 153. 231. 158. 177. 178. 179. 223. 171. 155. 160. 175. 174. 161.
 168. 151. 174. 159. 165. 162. 172. 177. 172. 161. 195. 155. 156. 172.
 165. 172. 164. 184. 180. 183. 157. 187. 175. 161. 191. 156. 168. 166.
 175. 173. 170. 167. 181. 159. 182. 214. 197. 170. 202. 171. 175. 163.
 181. 187. 174. 173. 160. 163. 169. 158. 187. 181. 172. 173. 179. 166.
 177. 172. 171. 167. 169. 156. 171. 177. 165. 167. 195. 168. 175. 168.
 181. 173. 184. 161. 181. 215. 176. 166. 161. 180. 176. 202. 179. 166.
 184. 169.]"
100,"[165. 152. 190. 155. 183. 215. 200. 175. 173. 158. 165. 170. 165. 168.
 177. 150. 180. 167. 182. 164. 186. 170. 176. 173. 177. 162. 150. 163.
 159. 172. 164. 200. 190. 188. 160. 178. 175. 153. 175. 150. 157. 168.
 149. 184. 172. 154. 233. 155. 160. 173. 182. 175. 198. 186. 174. 169.
 191. 196. 172. 159. 157. 172. 168. 153. 180. 159. 167. 179. 179. 191.
 169. 176. 163. 174. 166. 155. 161. 223. 162. 163. 185. 153. 169. 173.
 149. 172. 172. 164. 179. 177. 180. 176. 162. 178. 168. 156. 180. 162.
 182. 192.]"
110,"[168. 167. 182. 154. 177. 173. 167. 180. 179. 147. 171. 169. 166. 175.
 180. 145. 163. 169. 179. 162. 176. 170. 171. 174. 172. 156. 149. 164.
 161. 157. 164. 183. 176. 171. 154. 181. 178. 151. 169. 154. 164. 171.
 147. 163. 160. 165. 212. 157. 175. 176. 167. 168. 194. 167. 171. 163.
 179. 188. 165. 163. 159. 168. 171. 159. 181. 153. 181. 177. 182. 164.
 163. 172. 169. 175. 173. 165. 171. 166. 166. 154. 181. 160. 160. 177.
 140. 176. 164. 158. 186. 188. 179. 161. 165. 179. 168. 151. 176. 166.
 167. 163.]"
120,"[180. 156. 185. 151. 172. 179. 175. 190. 172. 151. 160. 173. 170. 171.
 172. 146. 174. 177. 163. 172. 175. 172. 173. 168. 171. 148. 154. 164.
 167. 156. 165. 175. 177. 195. 159. 176. 169. 151. 174. 154. 153. 158.
 158. 176. 156. 155. 190. 154. 170. 175. 172. 175. 185. 170. 167. 171.
 184. 182. 167. 164. 165. 165. 164. 160. 192. 154. 167. 186. 177. 168.
 168. 178. 167. 165. 176. 158. 160. 228. 162. 159. 183. 159. 169. 185.
 150. 175. 171. 159. 182. 171. 174. 156. 169. 175. 176. 156. 176. 178.
 192. 171.]"
130,"[162. 159. 188. 168. 167. 180. 178. 178. 168. 153. 162. 173. 163. 177.
 182. 147. 179. 158. 173. 162. 189. 165. 173. 164. 193. 153. 166. 162.
 183. 156. 154. 183. 181. 175. 157. 188. 178. 161. 177. 168. 160. 167.
 154. 160. 161. 158. 195. 161. 177. 201. 177. 192. 199. 160. 172. 166.
 174. 184. 169. 159. 171. 175. 167. 155. 188. 161. 174. 179. 186. 174.
 168. 172. 164. 170. 171. 157. 165. 186. 164. 161. 190. 164. 169. 188.
 160. 171. 170. 167. 181. 188. 178. 163. 163. 183. 171. 164. 173. 171.
 183. 176.]"
140,"[167. 167. 197. 155. 173. 176. 185. 178. 179. 161. 167. 168. 179. 171.
 180. 144. 165. 161. 168. 174. 189. 181. 165. 169. 194. 155. 163. 163.
 191. 177. 160. 182. 190. 188. 153. 186. 175. 159. 175. 161. 166. 166.
 168. 174. 168. 178. 197. 168. 176. 168. 178. 163. 205. 182. 173. 167.
 175. 197. 172. 160. 179. 177. 165. 156. 182. 167. 173. 217. 177. 167.
 172. 190. 159. 168. 169. 155. 166. 188. 158. 160. 182. 164. 171. 185.
 149. 168. 171. 161. 169. 213. 185. 162. 175. 177. 179. 155. 187. 168.
 181. 176.]"
