Iter,Avg Makespan,,,
10,218.5899963,,training_time,9316.783
20,245.6100006,,mean_ms,221.69
30,221.8800049,,max_ms,257.78
40,223.8500061,,min_ms,213.60
50,257.7799988,,,
60,243.5899963,,,
70,242.7899933,,,
80,248.4900055,,,
90,251.1300049,,,
100,238.5800018,,,
110,232.0200043,,,
120,228.8200073,,,
130,221.0299988,,,
140,220.9799957,,,
150,220.9799957,,,
160,224.8600006,,,
170,238.4600067,,,
180,221.6799927,,,
190,222.9499969,,,
200,223.1000061,,,
210,223.3699951,,,
220,221.6799927,,,
230,222.6100006,,,
240,222.5099945,,,
250,223.75,,,
260,235.4100037,,,
270,224.6100006,,,
280,230.0099945,,,
290,222.8200073,,,
300,221.1799927,,,
310,219.8600006,,,
320,222.3800049,,,
330,223.9700012,,,
340,223.5899963,,,
350,218.1600037,,,
360,221.3399963,,,
370,216.0500031,,,
380,217.8099976,,,
390,218.2899933,,,
400,220.6799927,,,
410,218.0599976,,,
420,217.9299927,,,
430,219.0099945,,,
440,217.8500061,,,
450,217.5,,,
460,216.7700043,,,
470,217.0200043,,,
480,216.6699982,,,
490,217.3600006,,,
500,216.3300018,,,
510,217.2899933,,,
520,216.9900055,,,
530,216.1900024,,,
540,214.6799927,,,
550,219.8800049,,,
560,218.8899994,,,
570,217.3600006,,,
580,218.9799957,,,
590,220.1000061,,,
600,218.3999939,,,
610,220.7299957,,,
620,220.9900055,,,
630,220.1799927,,,
640,217.2100067,,,
650,215.8300018,,,
660,216.7700043,,,
670,215.4199982,,,
680,216.7200012,,,
690,217.5299988,,,
700,218.0599976,,,
710,219.5099945,,,
720,218.9499969,,,
730,224.5800018,,,
740,221.6699982,,,
750,226.0800018,,,
760,223.4700012,,,
770,223.1300049,,,
780,221.6199951,,,
790,215.3600006,,,
800,219.5599976,,,
810,218.3699951,,,
820,218.8699951,,,
830,218.6900024,,,
840,219.6699982,,,
850,217.8200073,,,
860,216.9199982,,,
870,216.8399963,,,
880,216.6999969,,,
890,214.6999969,,,
900,214.3999939,,,
910,213.6000061,,,
920,215.1600037,,,
930,214.9600067,,,
940,216.8099976,,,
950,215.3500061,,,
960,215.4100037,,,
970,214.7599945,,,
980,214.6499939,,,
990,216,,,
1000,215.8200073,,,
