Iter,Avg Makespan,,,
10,137.5500031,,trainning_time,8175.637
20,132.9600067,,mean_ms,117.3
30,133.0099945,,max_ms,137.55
40,134.6499939,,min_ms,109.51
50,135.6600037,,,
60,132.4499969,,,
70,133.7700043,,,
80,132.6300049,,,
90,131.3000031,,,
100,130.6100006,,,
110,131.2599945,,,
120,132.4700012,,,
130,128.0299988,,,
140,128.0700073,,,
150,128.9600067,,,
160,129.1100006,,,
170,129.4299927,,,
180,129.6199951,,,
190,127.5400009,,,
200,127.6600037,,,
210,127.9199982,,,
220,128.1799927,,,
230,128.1199951,,,
240,128.6900024,,,
250,127.5899963,,,
260,127.0400009,,,
270,125.8000031,,,
280,125.2099991,,,
290,126,,,
300,125.6200027,,,
310,123.9700012,,,
320,121.3899994,,,
330,118.0899963,,,
340,117.7799988,,,
350,117.3899994,,,
360,118.1500015,,,
370,113.9400024,,,
380,113.8300018,,,
390,114.5,,,
400,111.8399963,,,
410,112.3300018,,,
420,112.4199982,,,
430,111.9899979,,,
440,113.1699982,,,
450,114.0199966,,,
460,111.8000031,,,
470,112.0999985,,,
480,111.8499985,,,
490,111.4300003,,,
500,112.4100037,,,
510,111.9899979,,,
520,111.3799973,,,
530,111.4000015,,,
540,112.4400024,,,
550,111.7200012,,,
560,111.5800018,,,
570,111.4000015,,,
580,110.7699966,,,
590,111.9599991,,,
600,113.0500031,,,
610,111.4300003,,,
620,110.9300003,,,
630,110.0999985,,,
640,111.3600006,,,
650,110.9100037,,,
660,109.5100021,,,
670,110.4000015,,,
680,110.0299988,,,
690,111.3300018,,,
700,110.3799973,,,
710,110.5599976,,,
720,110.2399979,,,
730,110.4100037,,,
740,110.7099991,,,
750,111.0299988,,,
760,109.7200012,,,
770,109.8899994,,,
780,110.5699997,,,
790,110.3199997,,,
800,111.2600021,,,
810,110.4899979,,,
820,111.1999969,,,
830,110.0199966,,,
840,110.0800018,,,
850,110.2099991,,,
860,110.6299973,,,
870,110.1600037,,,
880,109.8499985,,,
890,109.8099976,,,
900,109.6699982,,,
910,110.4000015,,,
920,110.6100006,,,
930,110.5299988,,,
940,111.3300018,,,
950,111.3600006,,,
960,110.6200027,,,
970,110,,,
980,110.7600021,,,
990,111.0500031,,,
1000,110.8799973,,,
