Iter,Avg Makespan,,,
10,139.7899933,,training_time,15987.437
20,141.6100006,,mean_ms,115.69
30,139.1699982,,max_ms,141.61
40,138.5500031,,min_ms,108.29
50,139.3000031,,,
60,137.5099945,,,
70,137.6799927,,,
80,135.6900024,,,
90,135.0299988,,,
100,133.2299957,,,
110,135.6799927,,,
120,133.4700012,,,
130,133.2799988,,,
140,134.8300018,,,
150,132.9299927,,,
160,129.9100037,,,
170,131.3200073,,,
180,131.5800018,,,
190,128.9499969,,,
200,124.5500031,,,
210,119.1800003,,,
220,114.2799988,,,
230,120.0400009,,,
240,115.0500031,,,
250,111.8399963,,,
260,116.6600037,,,
270,114.7300034,,,
280,112.4700012,,,
290,114.3000031,,,
300,113.5500031,,,
310,113.9800034,,,
320,111.8600006,,,
330,111.9100037,,,
340,110.8000031,,,
350,109.2699966,,,
360,110.9100037,,,
370,112.6200027,,,
380,110.1500015,,,
390,111.7600021,,,
400,110.5699997,,,
410,108.7799988,,,
420,109.6100006,,,
430,109.4300003,,,
440,108.9400024,,,
450,109.7200012,,,
460,109.1900024,,,
470,109.0400009,,,
480,109.1800003,,,
490,110.6999969,,,
500,108.4599991,,,
510,109.5899963,,,
520,108.8399963,,,
530,109.9100037,,,
540,109.7200012,,,
550,110.3499985,,,
560,109.9400024,,,
570,110.1100006,,,
580,111.0199966,,,
590,109.7099991,,,
600,108.9899979,,,
610,109.6399994,,,
620,112.2399979,,,
630,109.9599991,,,
640,109.9300003,,,
650,109.9599991,,,
660,109.3300018,,,
670,111.3799973,,,
680,109.5800018,,,
690,109,,,
700,109.4899979,,,
710,110.0599976,,,
720,109.9499969,,,
730,109.3300018,,,
740,109.7799988,,,
750,110.9199982,,,
760,112.8499985,,,
770,112.2900009,,,
780,108.9599991,,,
790,109.1200027,,,
800,109.3600006,,,
810,110.1200027,,,
820,108.8499985,,,
830,108.2900009,,,
840,109.8600006,,,
850,110,,,
860,111.1399994,,,
870,110.25,,,
880,109.8300018,,,
890,110.3700027,,,
900,110.1399994,,,
910,110.0299988,,,
920,109.5899963,,,
930,108.0599976,,,
940,110.4199982,,,
950,111.4599991,,,
960,111.1299973,,,
970,110.2300034,,,
980,110.8499985,,,
990,109.8899994,,,
1000,109.3000031,,,
